"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Australia","AUS","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44512.5960291842","","","","","","","","","","",
"Austria","AUT","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","15929.6830743209","16583.4823044846","17543.2134504464","18491.8159812132","18836.4476537541","18900.063963273","19781.3477227898","20693.724214188","20794.8325038714","21873.6039642785","22047.5100498219","21816.9716290124","22224.9617640012","23070.2658348938","23109.0997618924","23602.9238700135","24234.4809450822","24676.1567332962","25603.327619226","26463.1264720608","27439.2772683166","27965.2365574836","28214.5879826527","27965.2363681248","28529.6211771638","29099.2309933951","29719.69511296","30102.7241760963","31054.5729634725","31608.071246765","32695.119065715","32644.9084454712","33382.066072949","33545.0066405242","34343.4740982057","34738.6378312857","35995.2007153341","37081.0645799749","37550.6899284916","35587.3417893585","36175.7352803491","36601.710510177","36291.5282963378","36000.5264877214","36037.802676778","35811.6857751508","36759.5490406553","36605.9921345216","37151.795212545","37541.0904975117","34966.0123230627","36140.8271169058","","","","",
"Azerbaijan","AZE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460.30160976384","","","","","","","","","","",
"Burundi","BDI","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202.04507771664","","","","","","","","","","",
"Belgium","BEL","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","16396.2765465835","16909.1849542283","17921.4856898815","19102.1815854877","19365.9211168679","19068.2308654569","20129.9939786782","20118.9359657564","20674.3847603795","21045.6989295401","20907.4139999572","20346.3490570953","20315.3958629209","20478.0933939263","21136.7750250744","21735.7634367885","22774.4670893192","23481.4165744728","24825.1631743279","25628.3192474904","26277.3290947575","26730.9009074867","27264.7514976049","27343.5449889801","28324.3019435336","28717.5736038735","28790.8788833616","29748.2781199315","30278.8758070028","30933.2668853921","31696.2968873487","31583.518277777","32027.826424706","31996.0417642424","32622.6307956248","32881.8677186091","33244.5027767543","34189.1055350945","33463.8001596158","32645.5388289381","32856.1237312314","31856.9832621962","32603.1344196989","32731.0192288473","33096.9259962535","33799.7398337937","34201.7590597478","34474.6224820819","34611.7081272731","35407.7281237795","32892.6432278819","34719.1978951228","","","","",
"Benin","BEN","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","673.725075949924","698.105142582824","709.956915642242","689.517621506909","625.871315391216","607.301627431341","595.909662250734","602.940357282897","655.951598790834","692.30178013536","707.054559283659","655.201989611021","606.992070517172","623.109229408162","663.385347753192","635.81123750322","604.221454420276","612.315676996149","556.963319323196","596.803138775219","611.237198354863","571.200711248208","597.354650285602","522.684865471131","542.604201854042","562.303289916632","586.50969892886","592.791744855359","635.712930406602","670.559438068277","698.716040900521","733.598427026133","747.568483597626","772.642309290524","752.490152491567","757.369605452471","776.024081150713","792.536188144217","787.143018339984","778.826047332802","791.822637744615","816.059842543976","870.392553683111","897.456652011979","898.797038110268","912.008088833531","919.017165408261","949.500172494671","997.515790559392","997.897693312255","1053.04492592337","","","","",
"Burkina Faso","BFA","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","326.660879589163","330.361764023539","347.574583739157","337.110605517368","323.453661029683","317.973355801816","339.341657503956","327.946098707617","338.229603426962","330.351251440603","322.575484212795","337.427081650915","330.456246348429","331.570974689465","300.015083059585","316.197395736908","341.277440486798","348.948836686121","369.601468312203","370.50877951258","373.301266654435","385.745952799529","389.597117748853","406.097925793315","411.920134216047","428.1386228695","438.448344784431","441.64038902209","450.062660931692","447.107784989514","469.688623214268","483.697595143015","527.426006559701","528.936502327431","529.982214314297","543.146065748372","572.100651772988","591.731967563689","620.728978402063","648.449961363984","637.779911106823","588.799395086208","","","","",
"Bangladesh","BGD","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","485.893676346524","467.381138611444","433.964315520235","426.451643589032","405.489059244668","431.485163400378","447.187910626815","445.097122000725","485.732846053854","462.367888481112","460.630269788679","459.221477298161","489.252885339284","496.67341660883","503.284041004256","505.34550955716","507.581530075102","532.518235658139","515.032330988217","521.89656321633","527.746055212946","544.937502014347","555.006068593659","560.546324751307","562.116791276515","574.511718980825","588.768787000614","610.904883914763","629.667697185163","643.095112404331","660.173507257713","701.540941305708","738.026352605422","788.66747413762","838.530373616039","873.703381927663","909.264414113571","956.791771110676","1001.61032465212","1052.72375826975","1102.0536013687","1137.23703189474","1194.18010735624","1265.33608045181","1311.67139098208","1419.81175600293","1610.01300804304","1663.21884231979","1771.81143581888","","","","",
"Bulgaria","BGR","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3634.70794690168","3580.44946995928","2796.81687739942","2903.80884484925","2693.37858803577","2810.60579122401","3081.33351989275","3405.90015110538","3596.64873770668","3898.48159794568","4125.72021438667","4363.93532484689","4528.89278609978","5075.2809656056","5067.86320809942","5167.28820421599","5398.01584789222","5547.61884727356","5582.72475026485","5783.00496331023","5981.3406941062","6374.66463318747","6724.83536406884","6947.72238184849","7494.61581145884","7417.78977281545","8072.0298457403","","","","",
"Bahrain","BHR","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14907.3125873972","14958.0285619782","13030.5130343372","13802.1345265644","13497.9061362871","14315.9514922157","15172.9175909817","16679.970615779","17283.7385757089","14769.6512248981","14993.1316710038","14359.0880737091","17376.9027292786","17944.7293188146","17394.344147917","17082.5308115239","17354.0951453181","17386.4381942494","16952.4132551124","17465.7522746067","16092.991889636","","","","","",
"Bahamas, The","BHS","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23687.5189723897","22862.2672540019","20939.6287232038","20696.4136219512","19788.1304917528","19763.8652594649","23981.607806161","26734.7034767035","28869.3320483641","30748.9473791271","33492.5341547806","34499.3753665026","33179.3424521678","36367.6895321572","35162.7391118654","33742.6439624669","34911.6634373982","33403.1296453623","34390.0070888576","32856.860986457","29331.934507593","28128.9462834557","27281.6181279369","27035.7942565378","26034.9559560567","26439.4352321285","26904.5487596835","26792.4290844013","28135.6044713559","27492.6283207571","27916.68010973","20486.8223672286","23262.3527647246","","","","",
